file,subject,exercise,set_id,num_reps,set_length_samples,true_period_samples,signal,method,estimated_period_samples,signed_error_samples,abs_error_samples,relative_abs_error,within_10_percent,within_20_percent
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,motion_energy,autocorr,463.0,-13.0,13.0,0.0273,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,motion_energy,fft,463.5,-12.5,12.5,0.0263,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,transition_energy,autocorr,462.0,-14.0,14.0,0.0294,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,transition_energy,fft,463.5,-12.5,12.5,0.0263,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,pca_motion,autocorr,402.0,-6.0,6.0,0.0147,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,pca_motion,fft,416.1667,8.1667,8.1667,0.02,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,abs_pca_motion,autocorr,1256.0,848.0,848.0,2.0784,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,abs_pca_motion,fft,416.1667,8.1667,8.1667,0.02,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,acc_magnitude,autocorr,400.0,-8.0,8.0,0.0196,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,acc_magnitude,fft,416.1667,8.1667,8.1667,0.02,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,gyro_magnitude,autocorr,1256.0,848.0,848.0,2.0784,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,gyro_magnitude,fft,416.1667,8.1667,8.1667,0.02,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,pca_velocity,autocorr,1253.0,845.0,845.0,2.0711,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,pca_velocity,fft,416.1667,8.1667,8.1667,0.02,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,motion_energy,autocorr,1258.0,850.0,850.0,2.0833,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,motion_energy,fft,416.1667,8.1667,8.1667,0.02,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,transition_energy,autocorr,1254.0,846.0,846.0,2.0735,False,False
