subject,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
thomas0506,transition_energy_max_s21_e51,max,298,61.6577,66.5,82.0,84.0,0.0772,0.3289,0.9899
thomas0506,transition_energy_max_s21_e81,max,298,61.3054,63.0,81.0,83.0,0.0503,0.302,1.0
thomas0506,transition_energy_max_s51_e21,max,298,57.7282,65.5,81.6,84.0,0.1611,0.3591,0.9866
thomas0506,transition_energy_max_s51_e51,max,298,59.7953,69.0,82.0,85.3,0.1477,0.3322,0.9966
thomas0506,transition_energy_max_s51_e81,max,298,62.6074,65.0,82.0,84.3,0.0604,0.2919,0.9966
thomas0506,transition_energy_max_s9_e21,max,298,54.5268,56.0,78.0,81.3,0.1208,0.4228,0.9933
thomas0506,transition_energy_max_s9_e51,max,298,57.3322,58.0,81.0,83.0,0.0805,0.3993,1.0
thomas0506,transition_energy_max_s9_e81,max,298,59.5537,61.5,80.6,83.3,0.0604,0.3658,0.9966
yanz0510workout,acc_jerk_max_s21_e21,max,296,51.0439,46.0,88.0,99.0,0.3209,0.5338,0.9122
yanz0510workout,acc_jerk_max_s21_e51,max,296,53.0676,46.0,93.0,104.5,0.3277,0.5372,0.8885
yanz0510workout,acc_jerk_max_s21_e81,max,296,53.1149,46.5,93.0,105.5,0.3446,0.527,0.8919
yanz0510workout,acc_jerk_max_s51_e21,max,296,54.1216,55.0,88.0,98.0,0.2466,0.4561,0.9223
yanz0510workout,acc_jerk_max_s51_e51,max,296,54.8378,54.0,91.0,99.0,0.25,0.4696,0.9189
yanz0510workout,acc_jerk_max_s51_e81,max,296,58.7061,59.5,93.0,104.5,0.2736,0.4527,0.8818
yanz0510workout,acc_jerk_max_s9_e21,max,296,49.152,43.5,88.0,95.5,0.3311,0.5709,0.9392
yanz0510workout,acc_jerk_max_s9_e51,max,296,51.6655,44.0,93.0,101.0,0.3311,0.5574,0.8986
yanz0510workout,acc_jerk_max_s9_e81,max,296,53.1014,50.0,93.0,104.0,0.3581,0.5135,0.8818
yanz0510workout,acc_magnitude_min_s21,min,296,57.6115,56.0,98.0,113.5,0.2939,0.473,0.8074
yanz0510workout,acc_magnitude_min_s51,min,296,61.1588,59.0,101.0,113.5,0.2568,0.4561,0.7872
yanz0510workout,acc_magnitude_min_s9,min,296,54.2095,45.5,93.0,106.0,0.3176,0.5135,0.8547
