dataset,model_stage,fold,val_subject,n_features,added_feature_coef,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
rpe_only_143_sets,M4_add_one__movement_rate_cv,1,haoyu0512workout,11,-0.16189451052276463,24,1.3777663966417713,1.609063686859588,-1.6071914445126185,0.6248148516723885,0.16666666666666666,0.6666666666666666
rpe_only_143_sets,M4_add_one__movement_rate_cv,2,hsianshun0514workout,11,-0.2271595910674267,23,0.9620987921227607,1.1890514370526946,0.6379849388880473,0.860050738695454,0.34782608695652173,0.7391304347826086
rpe_only_143_sets,M4_add_one__movement_rate_cv,3,tsenyu0515workout,11,-0.29911865174120766,24,1.9045154440771441,2.1725790281779895,-0.23356505852949128,0.7933750633471904,0.08333333333333333,0.375
rpe_only_143_sets,M4_add_one__movement_rate_cv,4,yanz0510workout,11,-0.2080861845296716,24,1.0156461888992705,1.1737697833421121,0.31053375285029916,0.7506145723674007,0.16666666666666666,0.8333333333333334
rpe_only_143_sets,M4_add_one__movement_rate_cv,5,yoru0511workout,11,-0.10814246107123629,24,1.143061302769191,1.4138914083191778,0.06536102697822876,0.7095917540800101,0.2916666666666667,0.7083333333333334
rpe_only_143_sets,M4_add_one__movement_rate_cv,6,yushuan0513workout,11,-0.21462575549873694,24,0.9782673600480588,1.4939948312990499,-0.05122145562240976,0.5068450870736597,0.4166666666666667,0.8333333333333334
rpe_only_143_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,1,haoyu0512workout,11,0.0572610299786485,24,1.4358340727991241,1.658144346286724,-1.7686695449626457,0.6248148516723885,0.16666666666666666,0.6666666666666666
rpe_only_143_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,2,hsianshun0514workout,11,0.0758546859298451,23,0.9644183883693721,1.1836689727662202,0.6412549789833915,0.8791295058118739,0.34782608695652173,0.7391304347826086
rpe_only_143_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,3,tsenyu0515workout,11,0.03462544019143747,24,1.9253230297897639,2.1439834445474797,-0.20130628223428215,0.8471482620851668,0.0,0.3333333333333333
rpe_only_143_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,4,yanz0510workout,11,0.03227180689772629,24,1.055002395258319,1.2080054734870673,0.2697274708866766,0.7403991077730515,0.08333333333333333,0.8333333333333334
rpe_only_143_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,5,yoru0511workout,11,-0.07959195391144461,24,1.247392116101123,1.5081085200708486,-0.06335178050870494,0.6816166098328007,0.25,0.625
rpe_only_143_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,6,yushuan0513workout,11,-0.033655381274140146,24,1.001008395488798,1.5158587156185284,-0.08221481924185858,0.502414623025813,0.4166666666666667,0.7916666666666666
rpe_only_143_sets,M4_add_one__gyro_mag_diff_rms_slope,1,haoyu0512workout,11,-0.024798121048315164,24,1.4292567491895258,1.648000449676479,-1.7348978281627851,0.6117978755958804,0.125,0.6666666666666666
rpe_only_143_sets,M4_add_one__gyro_mag_diff_rms_slope,2,hsianshun0514workout,11,0.01888222387641508,23,0.9665413350667901,1.1690187913180026,0.6500803435012172,0.8695901222536639,0.30434782608695654,0.782608695652174
rpe_only_143_sets,M4_add_one__gyro_mag_diff_rms_slope,3,tsenyu0515workout,11,0.0002305433364572735,24,1.9242905716125893,2.1412177397968484,-0.1982089490522403,0.8471482620851668,0.0,0.3333333333333333
rpe_only_143_sets,M4_add_one__gyro_mag_diff_rms_slope,4,yanz0510workout,11,0.00841853464933949,24,1.0555389327325144,1.2070529159966372,0.2708787112065967,0.7403991077730515,0.08333333333333333,0.8333333333333334
rpe_only_143_sets,M4_add_one__gyro_mag_diff_rms_slope,5,yoru0511workout,11,-0.19840624537239934,24,1.3370832361763119,1.5862974039912061,-0.17647039403548903,0.6793963602893714,0.25,0.5833333333333334
rpe_only_143_sets,M4_add_one__gyro_mag_diff_rms_slope,6,yushuan0513workout,11,-0.1393402216963568,24,1.0014986592375579,1.5499849962096421,-0.13149076807980586,0.5174782007884917,0.4166666666666667,0.7916666666666666
