plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/069_kevin0509workout_db_triceps_curl_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,1,288843,293134,0.9,12,13,7,6,5,0.5385,0.5833,0.56,0.9392
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/070_kevin0509workout_db_triceps_curl_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,2,302705,307002,0.9,13,14,1,13,12,0.0714,0.0769,0.0741,0.9572
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/071_kevin0509workout_db_weighted_crunch_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,0,133307,136582,0.9,12,13,2,11,10,0.1538,0.1667,0.16,0.9402
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/072_kevin0509workout_db_weighted_crunch_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,1,145338,148353,0.9,12,12,2,10,10,0.1667,0.1667,0.1667,0.9323
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/073_kevin0509workout_db_weighted_crunch_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,2,159207,162079,0.9,12,13,2,11,10,0.1538,0.1667,0.16,0.9593
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/074_kevin0509workout_one_arm_db_row_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,0,42995,45075,0.9,8,8,0,8,8,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/075_kevin0509workout_one_arm_db_row_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,1,46759,50010,0.9,12,11,2,9,10,0.1818,0.1667,0.1739,0.9421
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/076_kevin0509workout_one_arm_db_row_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,2,56767,60017,0.9,12,13,4,9,8,0.3077,0.3333,0.32,0.9433
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/077_kevin0509workout_one_arm_db_row_set_3.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,3,66229,69230,0.9,12,11,1,10,11,0.0909,0.0833,0.087,0.9084
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/078_thomas0506_db_bench_press_set_0.png,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_bench_press,0,331,3250,0.9,13,12,0,12,13,0.0,0.0,0.0,0.0
