plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou
artifacts_rep_classification/waveform_method_comparison/sets_all/017_haoyu0512workout_db_triceps_curl_set_0.png,haoyu0512workout,db_triceps_curl,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,373880,380187,12,43,2,0.2531
artifacts_rep_classification/waveform_method_comparison/sets_all/017_haoyu0512workout_db_triceps_curl_set_0.png,haoyu0512workout,db_triceps_curl,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,373880,380187,12,1,0,0.0558
artifacts_rep_classification/waveform_method_comparison/sets_all/017_haoyu0512workout_db_triceps_curl_set_0.png,haoyu0512workout,db_triceps_curl,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,373880,380187,12,4,0,0.2956
artifacts_rep_classification/waveform_method_comparison/sets_all/018_haoyu0512workout_db_triceps_curl_set_1.png,haoyu0512workout,db_triceps_curl,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,385902,391996,12,50,1,0.213
artifacts_rep_classification/waveform_method_comparison/sets_all/018_haoyu0512workout_db_triceps_curl_set_1.png,haoyu0512workout,db_triceps_curl,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,385902,391996,12,25,7,0.3036
artifacts_rep_classification/waveform_method_comparison/sets_all/018_haoyu0512workout_db_triceps_curl_set_1.png,haoyu0512workout,db_triceps_curl,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,385902,391996,12,49,0,0.2203
artifacts_rep_classification/waveform_method_comparison/sets_all/018_haoyu0512workout_db_triceps_curl_set_1.png,haoyu0512workout,db_triceps_curl,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,385902,391996,12,2,0,0.0214
artifacts_rep_classification/waveform_method_comparison/sets_all/018_haoyu0512workout_db_triceps_curl_set_1.png,haoyu0512workout,db_triceps_curl,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,385902,391996,12,15,12,0.4677
artifacts_rep_classification/waveform_method_comparison/sets_all/019_haoyu0512workout_db_triceps_curl_set_2.png,haoyu0512workout,db_triceps_curl,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,399864,405473,12,22,11,0.4123
artifacts_rep_classification/waveform_method_comparison/sets_all/019_haoyu0512workout_db_triceps_curl_set_2.png,haoyu0512workout,db_triceps_curl,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,399864,405473,12,38,3,0.2709
artifacts_rep_classification/waveform_method_comparison/sets_all/019_haoyu0512workout_db_triceps_curl_set_2.png,haoyu0512workout,db_triceps_curl,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,399864,405473,12,23,9,0.3439
artifacts_rep_classification/waveform_method_comparison/sets_all/019_haoyu0512workout_db_triceps_curl_set_2.png,haoyu0512workout,db_triceps_curl,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,399864,405473,12,13,12,0.6654
artifacts_rep_classification/waveform_method_comparison/sets_all/019_haoyu0512workout_db_triceps_curl_set_2.png,haoyu0512workout,db_triceps_curl,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,399864,405473,12,8,3,0.4033
