fold,file,subject,exercise,set_id,period,expected_count,count_options,candidate_count,predicted_reps,boundaries
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,1,135.0,25,"23,24,25,26,27",965,25,"11655,11759,11932,12054,12190,12313,12460,12567,12680,12866,12969,13120,13276,13390,13516,13636,13778,13934,14064,14167,14298,14437,14552,14698,14855,14978"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,2,135.0,25,"23,24,25,26,27",949,27,"20890,21036,21116,21251,21356,21492,21629,21746,21873,22025,22158,22253,22382,22504,22671,22754,22892,23032,23148,23244,23331,23486,23603,23738,23883,23996,24111,24245"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,0,322.0,12,"10,11,12,13,14",450,12,"226852,227231,227543,227838,228168,228509,228840,229174,229511,229871,230166,230523,230829"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,1,320.0,12,"10,11,12,13,14",403,12,"240317,240638,240927,241241,241601,241911,242229,242560,242907,243254,243592,243895,244169"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,2,2202.0,2,"1,2,3,4",54,2,"253518,255882,258055"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,0,334.0,12,"10,11,12,13,14",432,12,"86297,86648,86924,87299,87621,87934,88348,88614,88945,89194,89522,89938,90269"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,1,338.0,12,"10,11,12,13,14",416,12,"96504,96891,97157,97534,97927,98236,98438,98779,99175,99461,99842,100176,100510"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,2,307.0,12,"10,11,12,13,14",413,11,"108375,108686,109031,109363,109706,110091,110443,110739,111100,111411,111786,112103"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,0,113.0,7,"5,6,7,8,9",232,7,"180405,180515,180621,180733,180844,180954,181059,181174"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,1,238.0,12,"10,11,12,13,14",457,12,"188153,188405,188572,188859,189096,189322,189554,189819,190055,190294,190526,190711,190943"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,2,267.0,12,"10,11,12,13,14",429,12,"198200,198476,198751,199002,199268,199524,199779,200033,200355,200537,200869,201138,201408"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,3,270.0,12,"10,11,12,13,14",440,12,"211264,211511,211716,211988,212339,212660,212890,213092,213343,213650,213916,214194,214474"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,0,361.0,12,"10,11,12,13,14",438,12,"319879,320236,320624,320972,321300,321702,322024,322356,322746,323114,323400,323762,324164"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,1,338.0,12,"10,11,12,13,14",441,12,"330751,331101,331401,331730,332068,332349,332629,333082,333302,333612,333955,334276,334667"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,2,298.0,12,"10,11,12,13,14",432,12,"344338,344638,344952,345209,345551,345875,346163,346430,346733,346979,347339,347612,347939"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,0,422.0,12,"10,11,12,13,14",455,13,"270488,270901,271286,271740,272127,272601,272951,273227,273690,274044,274432,274823,275256,275619"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,1,350.0,12,"10,11,12,13,14",437,13,"288843,289201,289426,289833,290171,290512,290860,291103,291439,291787,292126,292459,292827,293134"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,2,320.0,13,"11,12,13,14,15",479,14,"302705,303085,303315,303582,303877,304192,304502,304797,305160,305461,305769,306087,306393,306653,307002"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,0,275.0,12,"10,11,12,13,14",399,13,"133307,133484,133802,134051,134247,134554,134829,135134,135342,135556,135797,136072,136291,136582"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,1,248.0,12,"10,11,12,13,14",453,12,"145338,145619,145840,146100,146353,146595,146840,147061,147338,147623,147870,148108,148353"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,2,222.0,13,"11,12,13,14,15",459,13,"159207,159447,159668,159853,160084,160329,160512,160717,160984,161214,161417,161715,161936,162079"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,0,264.0,8,"6,7,8,9,10",269,8,"42995,43226,43514,43765,44071,44318,44555,44778,45075"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,1,274.0,12,"10,11,12,13,14",471,11,"46759,47055,47357,47707,47935,48264,48523,48801,49097,49356,49739,50010"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,2,276.0,12,"10,11,12,13,14",463,13,"56767,57038,57271,57517,57778,58018,58272,58470,58740,59037,59333,59579,59809,60017"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,3,249.0,12,"10,11,12,13,14",416,11,"66229,66502,66786,67049,67403,67667,67896,68148,68402,68646,68870,69230"
3,datasets/workout/ziho0512workout/ziho0512workout_whole_session_20260512_204157.csv,ziho0512workout,db_bench_press,0,25.0,30,"28,29,30",993,30,"118,232,358,495,605,719,828,968,1080,1199,1331,1447,1558,1674,1797,1918,2034,2147,2288,2399,2511,2624,2770,2883,3003,3117,3243,3371,3489,3615,3724"
3,datasets/workout/ziho0512workout/ziho0512workout_whole_session_20260512_204157.csv,ziho0512workout,db_bench_press,1,303.0,14,"12,13,14,15,16",525,14,"9210,9511,9818,10119,10439,10723,11028,11327,11572,11868,12231,12519,12825,13157,13420"
3,datasets/workout/ziho0512workout/ziho0512workout_whole_session_20260512_204157.csv,ziho0512workout,db_bench_press,2,326.0,12,"10,11,12,13,14",440,12,"21762,22154,22487,22810,23016,23310,23637,23981,24373,24683,25003,25364,25686"
3,datasets/workout/ziho0512workout/ziho0512workout_whole_session_20260512_204157.csv,ziho0512workout,db_bench_press,3,354.0,9,"7,8,9,10,11",324,9,"33400,33763,34094,34457,34809,35162,35496,35895,36250,36571"
3,datasets/workout/ziho0512workout/ziho0512workout_whole_session_20260512_204157.csv,ziho0512workout,db_biceps_curl,0,359.0,12,"10,11,12,13,14",402,12,"339943,340323,340674,341076,341413,341834,342244,342590,342897,343186,343572,343931,344330"
3,datasets/workout/ziho0512workout/ziho0512workout_whole_session_20260512_204157.csv,ziho0512workout,db_biceps_curl,1,374.0,12,"10,11,12,13,14",443,12,"352875,353256,353582,353984,354316,354706,355159,355540,355867,356264,356641,357074,357443"
