block_index,file,subject,exercise,set_id,start,end,samples,predicted_reps,prediction_seconds
153,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_weighted_crunch,0:active0,171206,175493,4287,12,0.06287016600072093
154,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_weighted_crunch,1:active0,180643,181786,1143,4,0.02548012499937613
155,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_weighted_crunch,2:active0,186438,190303,3865,12,0.054854707999766106
156,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_weighted_crunch,3:active0,198741,202234,3493,12,0.052156458999888855
157,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,one_arm_db_row,0:active0,78667,82415,3748,12,0.053217208000205574
158,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,one_arm_db_row,1:active0,88561,91793,3232,12,0.04953854100131139
159,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,one_arm_db_row,2:active0,98645,101842,3197,12,0.04829500000050757
160,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,0:active0,66,3903,3837,12,0.05420566699831397
161,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,1:active0,9344,13331,3987,11,0.05210558399994625
162,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,2:active0,30134,30906,772,2,0.019157249998897896
163,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,3:active0,32190,32425,235,2,0.015468625000721659
164,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,4:active0,52261,56100,3839,11,0.05140662499979953
165,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,5:active0,62104,65870,3766,11,0.052209958999810624
166,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_biceps_curl,0:active0,320083,322620,2537,8,0.03768816699994204
