recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
2026-03-11T17:23:08.412373,1681489,-1096.0,947.0,14550.0,-131.0,-67.0,-126.0,3886.0,5259.0,-3029.0
2026-03-11T17:23:08.412464,1681499,-661.0,1053.0,16017.0,-144.0,-58.0,-217.0,3880.0,5251.0,-3029.0
2026-03-11T17:23:08.417905,1681509,-229.0,1313.0,18410.0,-144.0,-58.0,-148.0,3880.0,5251.0,-3083.0
2026-03-11T17:23:08.427720,1681519,-690.0,1090.0,16395.0,-155.0,-64.0,-148.0,3894.0,5272.0,-3083.0
2026-03-11T17:23:08.437910,1681529,-1231.0,935.0,14040.0,-111.0,-39.0,-170.0,3894.0,5272.0,-2962.0
2026-03-11T17:23:08.504529,1681539,-1326.0,1158.0,14986.0,-129.0,-58.0,-194.0,3877.0,5245.0,-2962.0
2026-03-11T17:23:08.508671,1681549,-1677.0,1488.0,15810.0,-134.0,-41.0,-135.0,3877.0,5245.0,-3128.0
2026-03-11T17:23:08.508712,1681559,-971.0,1196.0,16198.0,-157.0,-22.0,-222.0,3883.0,5262.0,-3128.0
2026-03-11T17:23:08.508745,1681569,-578.0,737.0,14807.0,-144.0,-41.0,-158.0,3883.0,5262.0,-3024.0
2026-03-11T17:23:08.508776,1681579,-761.0,973.0,15488.0,-119.0,-13.0,-231.0,3882.0,5259.0,-3024.0
2026-03-11T17:23:08.508807,1681589,-86.0,1086.0,17651.0,-125.0,-64.0,-116.0,3882.0,5259.0,-3019.0
2026-03-11T17:23:08.508838,1681599,-607.0,1128.0,16598.0,-125.0,-64.0,-116.0,3879.0,5262.0,-3019.0
2026-03-11T17:23:08.538236,1681609,-260.0,1268.0,18142.0,-145.0,-23.0,-201.0,3879.0,5262.0,-3093.0
2026-03-11T17:23:08.540040,1681619,-942.0,1244.0,16508.0,-118.0,-39.0,-158.0,3888.0,5248.0,-3093.0
2026-03-11T17:23:08.540085,1681629,-1022.0,843.0,14180.0,-164.0,-40.0,-147.0,3888.0,5248.0,-3146.0
2026-03-11T17:23:08.546243,1681639,-895.0,1048.0,15539.0,-141.0,-12.0,-229.0,3891.0,5244.0,-3146.0
2026-03-11T17:23:08.556302,1681649,-1221.0,1047.0,14614.0,-144.0,-41.0,-131.0,3891.0,5244.0,-3090.0
2026-03-11T17:23:08.566349,1681659,-888.0,1014.0,15285.0,-113.0,-46.0,-223.0,3885.0,5257.0,-3090.0
2026-03-11T17:23:08.576334,1681669,-528.0,1000.0,16148.0,-152.0,-67.0,-123.0,3885.0,5257.0,-3013.0
2026-03-11T17:23:08.586259,1681679,-931.0,1251.0,16386.0,-152.0,-50.0,-225.0,3889.0,5253.0,-3013.0
2026-03-11T17:23:08.596228,1681689,-704.0,815.0,14807.0,-209.0,-50.0,-225.0,3889.0,5253.0,-3002.0
2026-03-11T17:23:08.606226,1681699,-673.0,851.0,15140.0,-137.0,-28.0,-211.0,3881.0,5264.0,-3002.0
2026-03-11T17:23:08.616248,1681709,-846.0,1274.0,16862.0,-117.0,-44.0,-192.0,3881.0,5264.0,-3214.0
2026-03-11T17:23:08.630538,1681719,-1161.0,1206.0,15544.0,-192.0,-3.0,-214.0,3885.0,5255.0,-3214.0
2026-03-11T17:23:08.636271,1681729,-1700.0,1400.0,15192.0,-130.0,-11.0,-173.0,3885.0,5255.0,-3089.0
2026-03-11T17:23:08.646302,1681739,-1149.0,1152.0,15454.0,-143.0,-5.0,-226.0,3890.0,5253.0,-3089.0
2026-03-11T17:23:08.656510,1681749,-128.0,993.0,17135.0,-155.0,-42.0,-125.0,3890.0,5253.0,-3120.0
2026-03-11T17:23:08.666310,1681759,-1146.0,1490.0,17081.0,-142.0,-19.0,-166.0,3881.0,5261.0,-3120.0
2026-03-11T17:23:08.676237,1681769,-1085.0,1145.0,15447.0,-142.0,-19.0,-166.0,3881.0,5261.0,-3047.0
2026-03-11T17:23:08.686865,1681779,-780.0,1165.0,16475.0,-162.0,-94.0,-140.0,3880.0,5249.0,-3047.0
2026-03-11T17:23:08.697052,1681789,-1044.0,946.0,14587.0,-132.0,-74.0,-227.0,3880.0,5249.0,-3039.0
2026-03-11T17:23:08.706352,1681799,-1011.0,1061.0,15290.0,-154.0,-1.0,-169.0,3900.0,5271.0,-3039.0
2026-03-11T17:23:08.716310,1681809,-1756.0,1477.0,15620.0,-193.0,-49.0,-122.0,3900.0,5271.0,-3161.0
2026-03-11T17:23:08.732936,1681819,-1290.0,1252.0,15475.0,-114.0,-37.0,-217.0,3891.0,5243.0,-3161.0
2026-03-11T17:23:08.739436,1681829,-1574.0,1194.0,14595.0,-87.0,-32.0,-144.0,3891.0,5243.0,-2905.0
2026-03-11T17:23:08.747366,1681839,-611.0,968.0,15792.0,-102.0,-40.0,-228.0,3888.0,5243.0,-3014.0
2026-03-11T17:23:08.756323,1681849,-241.0,1185.0,17829.0,-122.0,-27.0,-145.0,3888.0,5243.0,-3078.0
2026-03-11T17:23:08.766275,1681859,-845.0,1339.0,17052.0,-122.0,-27.0,-145.0,3892.0,5257.0,-3078.0
2026-03-11T17:23:08.776298,1681869,-1255.0,1275.0,15820.0,-155.0,-24.0,-170.0,3892.0,5257.0,-3137.0
2026-03-11T17:23:08.786899,1681879,-842.0,1019.0,15448.0,-125.0,-44.0,-190.0,3875.0,5264.0,-3137.0
2026-03-11T17:23:08.796227,1681889,-1753.0,1276.0,14636.0,-87.0,-74.0,-152.0,3875.0,5264.0,-2881.0
2026-03-11T17:23:08.808097,1681899,-1031.0,1198.0,15906.0,-122.0,-35.0,-198.0,3895.0,5250.0,-3057.0
2026-03-11T17:23:08.816332,1681909,-6.0,765.0,16290.0,-117.0,-55.0,-138.0,3895.0,5250.0,-3057.0
2026-03-11T17:23:08.826293,1681919,-719.0,1127.0,16326.0,-141.0,-70.0,-187.0,3888.0,5255.0,-2966.0
2026-03-11T17:23:08.836258,1681929,-782.0,1010.0,15609.0,-130.0,-54.0,-128.0,3888.0,5255.0,-2966.0
2026-03-11T17:23:08.846340,1681939,-764.0,1155.0,16474.0,-130.0,-54.0,-224.0,3880.0,5263.0,-3022.0
2026-03-11T17:23:08.856325,1681949,-1667.0,1468.0,15728.0,-161.0,-22.0,-224.0,3880.0,5263.0,-3022.0
2026-03-11T17:23:08.866264,1681959,-1024.0,1163.0,15745.0,-177.0,-29.0,-170.0,3880.0,5272.0,-3057.0
2026-03-11T17:23:08.876303,1681969,-458.0,765.0,15026.0,-152.0,-69.0,-180.0,3880.0,5272.0,-3057.0
2026-03-11T17:23:08.888771,1681979,-726.0,963.0,15492.0,-191.0,-38.0,-170.0,3879.0,5261.0,-3056.0
2026-03-11T17:23:08.896292,1681989,-929.0,812.0,14351.0,-136.0,-47.0,-175.0,3879.0,5261.0,-3056.0
2026-03-11T17:23:08.938366,1681999,-782.0,1067.0,15869.0,-179.0,-39.0,-262.0,3885.0,5246.0,-3013.0
2026-03-11T17:23:08.947044,1682009,-1019.0,1478.0,17524.0,-105.0,-49.0,-157.0,3885.0,5246.0,-3013.0
2026-03-11T17:23:08.947094,1682019,-1115.0,1298.0,16390.0,-121.0,3.0,-215.0,3882.0,5259.0,-3023.0
2026-03-11T17:23:08.947126,1682029,-510.0,903.0,15730.0,-121.0,3.0,-215.0,3882.0,5259.0,-3023.0
2026-03-11T17:23:08.947156,1682039,-750.0,1149.0,16544.0,-150.0,-33.0,-142.0,3891.0,5249.0,-3001.0
2026-03-11T17:23:08.956341,1682049,-1765.0,1260.0,14603.0,-100.0,-60.0,-176.0,3891.0,5249.0,-3001.0
2026-03-11T17:23:08.966288,1682059,-1116.0,1289.0,16332.0,-133.0,-19.0,-174.0,3874.0,5245.0,-2997.0
2026-03-11T17:23:08.980061,1682069,-1530.0,1382.0,15751.0,-126.0,-60.0,-131.0,3874.0,5245.0,-2997.0
2026-03-11T17:23:08.987178,1682079,-1005.0,1154.0,15712.0,-165.0,-17.0,-225.0,3881.0,5254.0,-3048.0
2026-03-11T17:23:08.996330,1682089,-460.0,773.0,15110.0,-141.0,-27.0,-118.0,3881.0,5254.0,-3048.0
2026-03-11T17:23:09.006309,1682099,-424.0,1010.0,16378.0,-176.0,-8.0,-220.0,3894.0,5261.0,-2985.0
2026-03-11T17:23:09.016871,1682109,5.0,1104.0,18019.0,-176.0,-8.0,-145.0,3894.0,5261.0,-2985.0
2026-03-11T17:23:09.026376,1682119,-519.0,940.0,15926.0,-188.0,-46.0,-145.0,3887.0,5262.0,-3128.0
2026-03-11T17:23:09.044182,1682129,-1425.0,1121.0,14564.0,-118.0,-50.0,-211.0,3887.0,5262.0,-3128.0
2026-03-11T17:23:09.051429,1682139,-985.0,1257.0,16239.0,-110.0,-50.0,-173.0,3886.0,5262.0,-3154.0
2026-03-11T17:23:09.056383,1682149,-688.0,1497.0,18191.0,-135.0,-30.0,-115.0,3886.0,5262.0,-3154.0
2026-03-11T17:23:09.066981,1682159,-860.0,1487.0,17747.0,-168.0,-18.0,-205.0,3872.0,5250.0,-3137.0
2026-03-11T17:23:09.076282,1682169,-1564.0,1456.0,16076.0,-169.0,-29.0,-148.0,3872.0,5250.0,-3137.0
2026-03-11T17:23:09.086367,1682179,-1043.0,1191.0,15864.0,-148.0,1.0,-176.0,3898.0,5275.0,-3021.0
2026-03-11T17:23:09.096341,1682189,-934.0,1440.0,17642.0,-149.0,-47.0,-146.0,3898.0,5275.0,-3277.0
2026-03-11T17:23:09.108721,1682199,-985.0,1179.0,16220.0,-149.0,-47.0,-146.0,3895.0,5252.0,-3158.0
2026-03-11T17:23:09.116401,1682209,-815.0,764.0,14502.0,-137.0,10.0,-225.0,3895.0,5252.0,-3158.0
2026-03-11T17:23:09.126343,1682219,-684.0,1105.0,16449.0,-171.0,-5.0,-130.0,3880.0,5260.0,-3178.0
2026-03-11T17:23:09.146265,1682229,-1426.0,1217.0,15101.0,-127.0,-63.0,-167.0,3880.0,5260.0,-3178.0
2026-03-11T17:23:09.156775,1682239,-744.0,1070.0,16024.0,-144.0,-76.0,-199.0,3886.0,5258.0,-3142.0
2026-03-11T17:23:09.157942,1682249,-1615.0,1567.0,16387.0,-135.0,-71.0,-119.0,3886.0,5258.0,-3142.0
2026-03-11T17:23:09.166598,1682259,-947.0,1259.0,16327.0,-132.0,0.0,-208.0,3878.0,5242.0,-3133.0
2026-03-11T17:23:09.176347,1682269,58.0,830.0,16745.0,-167.0,-46.0,-151.0,3878.0,5242.0,-3133.0
2026-03-11T17:23:09.186309,1682279,-652.0,1155.0,16379.0,-121.0,-16.0,-231.0,3874.0,5243.0,-3130.0
2026-03-11T17:23:09.196327,1682289,-1701.0,1259.0,14627.0,-121.0,-16.0,-231.0,3874.0,5243.0,-3130.0
2026-03-11T17:23:09.206420,1682299,-930.0,1086.0,15508.0,-169.0,-47.0,-162.0,3876.0,5262.0,-3154.0
2026-03-11T17:23:09.218120,1682309,-535.0,1439.0,18358.0,-163.0,-57.0,-191.0,3876.0,5262.0,-3154.0
2026-03-11T17:23:09.226329,1682319,-662.0,1148.0,16756.0,-143.0,-54.0,-214.0,3889.0,5274.0,-3004.0
2026-03-11T17:23:09.236295,1682329,-479.0,1187.0,17274.0,-130.0,-66.0,-141.0,3889.0,5274.0,-3004.0
2026-03-11T17:23:09.246382,1682339,-873.0,1333.0,16986.0,-152.0,0.0,-189.0,3891.0,5257.0,-3030.0
2026-03-11T17:23:09.256358,1682349,-282.0,1298.0,18317.0,-143.0,-72.0,-131.0,3891.0,5257.0,-3030.0
2026-03-11T17:23:09.266342,1682359,-601.0,1043.0,16509.0,-125.0,-34.0,-226.0,3894.0,5260.0,-3113.0
2026-03-11T17:23:09.276299,1682369,-394.0,832.0,15640.0,-125.0,-34.0,-169.0,3894.0,5260.0,-3113.0
2026-03-11T17:23:09.286413,1682379,-793.0,1168.0,16487.0,-166.0,-45.0,-169.0,3879.0,5264.0,-3052.0
2026-03-11T17:23:09.298275,1682389,-1740.0,1389.0,15216.0,-118.0,-51.0,-209.0,3879.0,5264.0,-3052.0
2026-03-11T17:23:09.307015,1682399,-733.0,1229.0,16577.0,-138.0,-38.0,-239.0,3880.0,5262.0,-3141.0
2026-03-11T17:23:09.321334,1682409,13.0,1031.0,17683.0,-158.0,-29.0,-124.0,3880.0,5262.0,-3141.0
2026-03-11T17:23:09.326331,1682419,-755.0,1334.0,17297.0,-147.0,-49.0,-194.0,3899.0,5257.0,-3101.0
2026-03-11T17:23:09.336309,1682429,-1293.0,1369.0,16162.0,-157.0,-54.0,-94.0,3899.0,5257.0,-3101.0
2026-03-11T17:23:09.346559,1682439,-978.0,1076.0,15485.0,-137.0,-24.0,-206.0,3889.0,5232.0,-3142.0
2026-03-11T17:23:09.356672,1682449,-1704.0,1238.0,14482.0,-117.0,-43.0,-153.0,3889.0,5232.0,-3142.0
2026-03-11T17:23:09.366342,1682459,-972.0,1195.0,15932.0,-117.0,-43.0,-153.0,3872.0,5251.0,-3083.0
2026-03-11T17:23:09.376317,1682469,-1089.0,1550.0,17544.0,-121.0,-16.0,-246.0,3872.0,5251.0,-3083.0
2026-03-11T17:23:09.386382,1682479,-879.0,1304.0,16869.0,-143.0,-55.0,-188.0,3880.0,5258.0,-3072.0
2026-03-11T17:23:09.426101,1682489,-1252.0,1434.0,16648.0,-159.0,-50.0,-140.0,3880.0,5258.0,-3072.0
2026-03-11T17:23:09.426319,1682499,-1064.0,1065.0,15307.0,-143.0,-57.0,-192.0,3885.0,5243.0,-3111.0
2026-03-11T17:23:09.427220,1682509,-464.0,1130.0,17049.0,-123.0,-47.0,-135.0,3885.0,5243.0,-3111.0
2026-03-11T17:23:09.427260,1682519,-1366.0,1077.0,14532.0,-116.0,-36.0,-217.0,3893.0,5260.0,-3064.0
2026-03-11T17:23:09.436431,1682529,-410.0,999.0,16589.0,-137.0,-52.0,-143.0,3893.0,5260.0,-3064.0
2026-03-11T17:23:09.448939,1682539,-1548.0,1251.0,14899.0,-137.0,-24.0,-217.0,3870.0,5258.0,-3112.0
2026-03-11T17:23:09.456373,1682549,-278.0,1023.0,16871.0,-152.0,-24.0,-217.0,3870.0,5258.0,-3112.0
2026-03-11T17:23:09.471143,1682559,-588.0,1352.0,17968.0,-153.0,-58.0,-122.0,3883.0,5251.0,-3018.0
2026-03-11T17:23:09.476625,1682569,-1232.0,1576.0,17405.0,-123.0,-90.0,-170.0,3883.0,5251.0,-3018.0
2026-03-11T17:23:09.486372,1682579,-1498.0,1421.0,15970.0,-173.0,-49.0,-216.0,3876.0,5258.0,-3120.0
2026-03-11T17:23:09.496651,1682589,-753.0,926.0,15183.0,-189.0,-45.0,-141.0,3876.0,5258.0,-3120.0
2026-03-11T17:23:09.506434,1682599,-746.0,1190.0,16617.0,-133.0,-26.0,-221.0,3885.0,5259.0,-3120.0
2026-03-11T17:23:09.516377,1682609,-1616.0,1275.0,14950.0,-133.0,-53.0,-154.0,3885.0,5259.0,-3120.0
2026-03-11T17:23:09.526370,1682619,-1216.0,1177.0,15331.0,-114.0,-12.0,-236.0,3883.0,5243.0,-3007.0
2026-03-11T17:23:09.536396,1682629,-1259.0,1125.0,14972.0,-114.0,-12.0,-236.0,3883.0,5243.0,-3007.0
2026-03-11T17:23:09.553250,1682639,-757.0,1005.0,15772.0,-144.0,-21.0,-129.0,3882.0,5252.0,-3111.0
2026-03-11T17:23:09.559860,1682649,-670.0,1086.0,16134.0,-137.0,-17.0,-193.0,3882.0,5252.0,-3111.0
2026-03-11T17:23:09.566396,1682659,-996.0,1237.0,16197.0,-161.0,-13.0,-219.0,3880.0,5253.0,-2952.0
2026-03-11T17:23:09.588560,1682669,-1350.0,956.0,14112.0,-189.0,-57.0,-149.0,3880.0,5253.0,-2952.0
2026-03-11T17:23:09.588616,1682679,-1228.0,1180.0,15536.0,-201.0,-31.0,-225.0,3879.0,5250.0,-3058.0
2026-03-11T17:23:09.596413,1682689,-57.0,874.0,16816.0,-175.0,-26.0,-136.0,3879.0,5250.0,-3058.0
2026-03-11T17:23:09.606407,1682699,-576.0,1106.0,16636.0,-147.0,-15.0,-216.0,3887.0,5244.0,-3044.0
2026-03-11T17:23:09.617422,1682709,-181.0,803.0,15987.0,-154.0,-24.0,-151.0,3887.0,5244.0,-3044.0
2026-03-11T17:23:09.627935,1682719,-585.0,1061.0,16241.0,-154.0,-24.0,-151.0,3884.0,5251.0,-3010.0
2026-03-11T17:23:09.636420,1682729,-328.0,1359.0,18435.0,-148.0,-69.0,-192.0,3884.0,5251.0,-3010.0
2026-03-11T17:23:09.646529,1682739,-821.0,1323.0,16939.0,-150.0,-37.0,-227.0,3893.0,5266.0,-3176.0
2026-03-11T17:23:09.656502,1682749,-698.0,1477.0,18228.0,-158.0,-43.0,-199.0,3893.0,5266.0,-3176.0
2026-03-11T17:23:09.669657,1682759,-790.0,1251.0,16649.0,-132.0,-69.0,-183.0,3888.0,5265.0,-3165.0
2026-03-11T17:23:09.676443,1682769,-952.0,823.0,14256.0,-144.0,-63.0,-132.0,3888.0,5265.0,-3165.0
2026-03-11T17:23:09.686523,1682779,-708.0,1090.0,16238.0,-134.0,-38.0,-227.0,3883.0,5250.0,-3094.0
2026-03-11T17:23:09.696392,1682789,-1413.0,1607.0,17096.0,-155.0,-58.0,-194.0,3883.0,5250.0,-3094.0
2026-03-11T17:23:09.709144,1682799,-789.0,1194.0,16620.0,-155.0,-58.0,-214.0,3875.0,5263.0,-3081.0
2026-03-11T17:23:09.716821,1682809,-594.0,761.0,14895.0,-132.0,-14.0,-214.0,3875.0,5263.0,-3081.0
2026-03-11T17:23:09.730336,1682819,-754.0,1112.0,16519.0,-142.0,-32.0,-172.0,3885.0,5251.0,-2998.0
2026-03-11T17:23:09.740133,1682829,-1744.0,1472.0,15641.0,-124.0,-33.0,-173.0,3885.0,5251.0,-2998.0
2026-03-11T17:23:09.746353,1682839,-974.0,1323.0,16610.0,-144.0,-25.0,-221.0,3884.0,5265.0,-3074.0
2026-03-11T17:23:09.756453,1682849,-1775.0,1525.0,15791.0,-131.0,-48.0,-141.0,3884.0,5265.0,-3074.0
2026-03-11T17:23:09.766376,1682859,-936.0,1358.0,16841.0,-153.0,-14.0,-206.0,3895.0,5259.0,-3058.0
2026-03-11T17:23:09.776571,1682869,-540.0,1409.0,18277.0,-148.0,-54.0,-157.0,3895.0,5259.0,-3058.0
2026-03-11T17:23:09.786385,1682879,-814.0,1293.0,16970.0,-184.0,-20.0,-184.0,3893.0,5256.0,-3161.0
